session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080115235,SELL,0.4776026743075453,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.472125,0.0,0.0,0,0
20260818-190823,1787080115227,SELL,0.4776026743075453,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.472125,0.0,0.0,0,0
20260818-190823,1787080115337,SELL,0.4803230754481833,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.477742,0.0,0.0,0,0
20260818-190823,1787080115439,SELL,0.48026221178275247,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.477619,0.0,0.0,0,0
20260818-190823,1787080115299,SELL,0.48026221178275247,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.477619,0.0,0.0,0,0
20260818-190823,1787080115541,SELL,0.479947292764734,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.477691,0.0,0.0,0,0
20260818-190823,1787080115643,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.711681,0.0,0.0,0,0
20260818-190823,1787080115577,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.711681,0.0,0.0,0,0
20260818-190823,1787080115745,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.709645,0.0,0.0,0,0
20260818-190823,1787080115847,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.72912,0.0,0.0,0,0
20260818-190823,1787080115949,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.732026,0.0,0.0,0,0
20260818-190823,1787080115816,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.732026,0.0,0.0,0,0
20260818-190823,1787080116051,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.732026,0.0,0.0,0,0
20260818-190823,1787080116153,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.72465,0.0,0.0,0,0
20260818-190823,1787080116060,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.72465,0.0,0.0,0,0
20260818-190823,1787080116255,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.72465,0.0,0.0,0,0
20260818-190823,1787080116357,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.731972,0.0,0.0,0,0
20260818-190823,1787080116404,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.731972,0.0,0.0,0,0
20260818-190823,1787080116459,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.73114,0.0,0.0,0,0
20260818-190823,1787080116561,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.673381,0.0,0.0,0,0
20260818-190823,1787080116426,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.673381,0.0,0.0,0,0
20260818-190823,1787080116663,SELL,0.4846779313375983,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.486961,0.0,0.0,0,0
20260818-190823,1787080116765,SELL,0.46133386921367436,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.439017,0.0,0.0,0,0
20260818-190823,1787080116867,SELL,0.46231060606060603,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.441022,0.0,0.0,0,0
20260818-190823,1787080116969,SELL,0.46332385016595545,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.443103,0.0,0.0,0,0
20260818-190823,1787080117071,SELL,0.46836676490160656,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.453379,0.0,0.0,0,0
20260818-190823,1787080117013,SELL,0.46836676490160656,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.453379,0.0,0.0,0,0
20260818-190823,1787080117173,SELL,0.4685941581572073,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.453827,0.0,0.0,0,0
20260818-190823,1787080117275,SELL,0.4685807922485038,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.453801,0.0,0.0,0,0
20260818-190823,1787080117377,SELL,0.4666066691928761,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.449748,0.0,0.0,0,0
20260818-190823,1787080117479,SELL,0.4666066691928761,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.449748,0.0,0.0,0,0
20260818-190823,1787080117581,SELL,0.467932899919328,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.45247,0.0,0.0,0,0
20260818-190823,1787080117683,SELL,0.47384096454715086,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.45247,0.0,0.0,0,0
