session,ts_ms,gross_bps
20260818-190823,1787080115235,-0.0
20260818-190823,1787080115227,-0.0
20260818-190823,1787080115337,-0.0
20260818-190823,1787080115439,-0.0
20260818-190823,1787080115299,-0.0
20260818-190823,1787080115541,-0.0
20260818-190823,1787080115643,-0.0
20260818-190823,1787080115577,-0.0
20260818-190823,1787080115745,-0.0
20260818-190823,1787080115847,-0.0
20260818-190823,1787080115949,-0.0
20260818-190823,1787080115816,-0.0
20260818-190823,1787080116051,-0.0
20260818-190823,1787080116153,-0.0
20260818-190823,1787080116060,-0.0
20260818-190823,1787080116255,-0.0
20260818-190823,1787080116357,-0.0
20260818-190823,1787080116404,-0.0
20260818-190823,1787080116459,-0.0
20260818-190823,1787080116561,-0.0
20260818-190823,1787080116426,-0.0
20260818-190823,1787080116663,-0.0
20260818-190823,1787080116765,-0.0
20260818-190823,1787080116867,-0.0
20260818-190823,1787080116969,-0.0
20260818-190823,1787080117071,-0.0
20260818-190823,1787080117013,-0.0
20260818-190823,1787080117173,-0.0
20260818-190823,1787080117275,-0.0
20260818-190823,1787080117377,-0.0
20260818-190823,1787080117479,-0.0
20260818-190823,1787080117581,-0.0
20260818-190823,1787080117683,-0.0
20260818-190823,1787080117572,-0.0
20260818-190823,1787080117785,-0.0
20260818-190823,1787080117887,-0.0
20260818-190823,1787080117989,-0.0
20260818-190823,1787080118091,-0.0
20260818-190823,1787080118193,-0.0
20260818-190823,1787080118048,-0.0
20260818-190823,1787080118295,-0.0
20260818-190823,1787080118227,-0.0
20260818-190823,1787080118397,-0.0
20260818-190823,1787080118499,-0.0
20260818-190823,1787080118601,-0.0
20260818-190823,1787080118556,-0.0
20260818-190823,1787080118703,-0.0
20260818-190823,1787080118805,-0.0
20260818-190823,1787080118692,-0.0
20260818-190823,1787080118907,-0.0
20260818-190823,1787080119009,-0.0
20260818-190823,1787080119111,-0.0
20260818-190823,1787080119213,-0.0
20260818-190823,1787080126557,-0.0
20260818-190823,1787080126537,-0.0
20260818-190823,1787080126659,-0.0
20260818-190823,1787080126761,-0.0
20260818-190823,1787080126657,-0.0
20260818-190823,1787080126863,-0.0
20260818-190823,1787080126965,-0.0
20260818-190823,1787080127067,-0.0
20260818-190823,1787080127001,-0.0
20260818-190823,1787080127169,-0.0
20260818-190823,1787080127271,-0.0
20260818-190823,1787080127373,-0.0
20260818-190823,1787080127266,-0.0
20260818-190823,1787080127475,-0.0
20260818-190823,1787080127577,-0.0
20260818-190823,1787080127520,-0.0
20260818-190823,1787080127679,-0.0
20260818-190823,1787080127781,-0.0
20260818-190823,1787080127883,-0.0
20260818-190823,1787080127985,-0.0
20260818-190823,1787080127875,-0.0
20260818-190823,1787080128087,-0.0
20260818-190823,1787080128189,-0.0
20260818-190823,1787080128291,-0.0
20260818-190823,1787080128393,-0.0
20260818-190823,1787080128495,-0.0
20260818-190823,1787080128597,-0.0
20260818-190823,1787080128501,-0.0
20260818-190823,1787080128699,-0.0
20260818-190823,1787080128801,-0.0
20260818-190823,1787080128903,-0.0
20260818-190823,1787080129005,-0.0
20260818-190823,1787080129107,-0.0
20260818-190823,1787080129209,-0.0
20260818-190823,1787080129079,-0.0
20260818-190823,1787080129311,-0.0
20260818-190823,1787080129413,-0.0
20260818-190823,1787080129515,-0.0
20260818-190823,1787080129617,-0.0
20260818-190823,1787080129719,-0.0
20260818-190823,1787080129729,-0.0
20260818-190823,1787080129732,-0.0
20260818-190823,1787080129821,-0.0
20260818-190823,1787080129732,-0.0
20260818-190823,1787080129923,-0.0
20260818-190823,1787080130025,-0.0
20260818-190823,1787080130127,-0.0
20260818-190823,1787080130229,-0.0
20260818-190823,1787080130331,-0.0
20260818-190823,1787080130433,-0.0
20260818-190823,1787080130535,-0.0
20260818-190823,1787080130426,-0.0
20260818-190823,1787080130637,-0.0
20260818-190823,1787080130739,-0.0
20260818-190823,1787080130841,-0.0
20260818-190823,1787080130943,-0.0
20260818-190823,1787080130839,-0.0
20260818-190823,1787080131045,-0.0
20260818-190823,1787080131147,-0.0
20260818-190823,1787080131249,-0.0
20260818-190823,1787080131351,-0.0
20260818-190823,1787080131453,-0.0
20260818-190823,1787080131319,-0.0
20260818-190823,1787080131555,-0.0
20260818-190823,1787080131657,-0.0
20260818-190823,1787080131759,-0.0
20260818-190823,1787080131861,-0.0
20260818-190823,1787080131963,-0.0
20260818-190823,1787080131909,-0.0
20260818-190823,1787080132065,-0.0
20260818-190823,1787080132167,-0.0
20260818-190823,1787080132269,-0.0
20260818-190823,1787080132371,-0.0
20260818-190823,1787080132473,-0.0
20260818-190823,1787080132575,-0.0
20260818-190823,1787080132496,-0.0
20260818-190823,1787080132677,-0.0
20260818-190823,1787080132779,-0.0
20260818-190823,1787080132881,-0.0
20260818-190823,1787080132983,-0.0
20260818-190823,1787080132916,-0.0
20260818-190823,1787080132982,-0.0
20260818-190823,1787080133085,-0.0
20260818-190823,1787080133187,-0.0
20260818-190823,1787080133055,-0.0
20260818-190823,1787080133289,-0.0
20260818-190823,1787080133184,-0.0
20260818-190823,1787080133391,-0.0
20260818-190823,1787080133493,-0.0
20260818-190823,1787080133595,-0.0
20260818-190823,1787080133697,-0.0
20260818-190823,1787080133598,-0.0
20260818-190823,1787080133799,-0.0
20260818-190823,1787080133901,-0.0
20260818-190823,1787080134003,-0.0
20260818-190823,1787080134105,-0.0
20260818-190823,1787080134207,-0.0
20260818-190823,1787080134309,-0.0
20260818-190823,1787080134217,-0.0
20260818-190823,1787080134411,-0.0
20260818-190823,1787080134513,-0.0
20260818-190823,1787080134615,-0.0
20260818-190823,1787080134717,-0.0
20260818-190823,1787080134819,-0.0
20260818-190823,1787080134921,-0.0
20260818-190823,1787080134828,-0.0
20260818-190823,1787080135023,-0.0
20260818-190823,1787080135125,-0.0
20260818-190823,1787080135004,-0.0
20260818-190823,1787080135227,-0.0
20260818-190823,1787080135154,-0.0
20260818-190823,1787080135329,-0.0
