session,ts_ms,action,gross_bps
20260818-190746,1787080070049,SELL,-0.0
20260818-190746,1787080070151,SELL,-0.0
20260818-190746,1787080070043,SELL,-0.0
20260818-190746,1787080070253,SELL,-0.0
20260818-190746,1787080070355,SELL,-0.0
20260818-190746,1787080070457,SELL,-0.0
20260818-190746,1787080070370,SELL,-0.0
20260818-190746,1787080070559,SELL,-0.0
20260818-190746,1787080070661,SELL,-0.0
20260818-190746,1787080070763,SELL,-0.0
20260818-190746,1787080070865,SELL,-0.0
20260818-190746,1787080070967,SELL,-0.0
20260818-190746,1787080071069,SELL,-0.0
20260818-190746,1787080071171,SELL,-0.0
20260818-190746,1787080071273,SELL,-0.0
20260818-190746,1787080071375,SELL,-0.0
20260818-190746,1787080071477,SELL,-0.0
20260818-190746,1787080071579,SELL,-0.0
20260818-190746,1787080071681,SELL,-0.0
20260818-190746,1787080071783,SELL,-0.0
20260818-190746,1787080071885,SELL,-0.0
20260818-190746,1787080071987,SELL,-0.0
20260818-190746,1787080072089,SELL,-0.0
20260818-190746,1787080072191,SELL,-0.0
20260818-190746,1787080072293,SELL,-0.0
20260818-190746,1787080072174,SELL,-0.0
20260818-190746,1787080072395,SELL,-0.0
20260818-190746,1787080072497,SELL,-0.0
20260818-190746,1787080072599,SELL,-0.0
20260818-190746,1787080072701,SELL,-0.0
20260818-190746,1787080072803,SELL,-0.0
20260818-190746,1787080072905,SELL,-0.0
20260818-190746,1787080073007,SELL,-0.0
20260818-190746,1787080073109,SELL,-0.0
20260818-190746,1787080073211,SELL,-0.0
20260818-190746,1787080073313,SELL,-0.0
20260818-190746,1787080073415,SELL,-0.0
20260818-190746,1787080073517,SELL,-0.0
20260818-190746,1787080073619,SELL,-0.0
20260818-190746,1787080073721,SELL,-0.0
20260818-190746,1787080073823,SELL,-0.0
20260818-190746,1787080073925,SELL,-0.0
20260818-190746,1787080074027,SELL,-0.0
20260818-190746,1787080074129,SELL,-0.0
20260818-190746,1787080074231,SELL,-0.0
20260818-190746,1787080074141,SELL,-0.0
20260818-190746,1787080074333,SELL,-0.0
20260818-190746,1787080074435,SELL,-0.0
20260818-190746,1787080074537,SELL,-0.0
20260818-190746,1787080074639,SELL,-0.0
20260818-190746,1787080074493,SELL,-0.0
20260818-190746,1787080074741,SELL,-0.0
20260818-190746,1787080074843,SELL,-0.0
20260818-190746,1787080074945,SELL,-0.0
20260818-190746,1787080075047,SELL,-0.0
20260818-190746,1787080075149,SELL,-0.0
20260818-190746,1787080075251,SELL,-0.0
20260818-190746,1787080075353,SELL,-0.0
20260818-190746,1787080075455,SELL,-0.0
20260818-190746,1787080075382,SELL,-0.0
20260818-190746,1787080075557,SELL,-0.0
20260818-190746,1787080075659,SELL,-0.0
20260818-190746,1787080075761,SELL,-0.0
20260818-190746,1787080075863,SELL,-0.0
20260818-190746,1787080075965,SELL,-0.0
20260818-190746,1787080076067,SELL,-0.0
20260818-190746,1787080075960,SELL,-0.0
20260818-190746,1787080076169,SELL,-0.0
20260818-190746,1787080076271,SELL,-0.0
20260818-190746,1787080076123,SELL,-0.0
20260818-190746,1787080076373,SELL,-0.0
20260818-190746,1787080076475,SELL,-0.0
20260818-190746,1787080076577,SELL,-0.0
20260818-190746,1787080076679,SELL,-0.0
20260818-190746,1787080076781,SELL,-0.0
20260818-190746,1787080076659,SELL,-0.0
20260818-190746,1787080076883,SELL,-0.0
20260818-190746,1787080076985,SELL,-0.0
20260818-190746,1787080077087,SELL,-0.0
20260818-190746,1787080077189,SELL,-0.0
20260818-190746,1787080077291,SELL,-0.0
20260818-190746,1787080077393,SELL,-0.0
20260818-190746,1787080077495,SELL,-0.0
20260818-190746,1787080077597,SELL,-0.0
20260818-190746,1787080077699,SELL,-0.0
20260818-190746,1787080077801,SELL,-0.0
20260818-190746,1787080077903,SELL,-0.0
20260818-190746,1787080078005,SELL,-0.0
20260818-190746,1787080078107,SELL,-0.0
20260818-190746,1787080078209,SELL,-0.0
20260818-190746,1787080078311,SELL,-0.0
20260818-190746,1787080078247,SELL,-0.0
20260818-190746,1787080078413,SELL,-0.0
20260818-190746,1787080078515,SELL,-0.0
20260818-190746,1787080078617,SELL,-0.0
20260818-190746,1787080078719,SELL,-0.0
20260818-190746,1787080078571,SELL,-0.0
20260818-190746,1787080078821,SELL,-0.0
20260818-190746,1787080078923,SELL,-0.0
20260818-190746,1787080079025,SELL,-0.0
20260818-190746,1787080079127,SELL,-0.0
20260818-190746,1787080079229,SELL,-0.0
20260818-190746,1787080079331,SELL,-0.0
20260818-190746,1787080079433,SELL,-0.0
20260818-190746,1787080079319,SELL,-0.0
20260818-190746,1787080079535,SELL,-0.0
20260818-190746,1787080079637,SELL,-0.0
20260818-190746,1787080079739,SELL,-0.0
20260818-190746,1787080079841,SELL,-0.0
20260818-190746,1787080079772,SELL,-0.0
20260818-190746,1787080079943,SELL,-0.0
20260818-190746,1787080080045,SELL,-0.0
20260818-190746,1787080079921,SELL,-0.0
20260818-190746,1787080080147,SELL,-0.0
20260818-190746,1787080080043,SELL,-0.0
20260818-190746,1787080080249,SELL,-0.0
20260818-190746,1787080080351,SELL,-0.0
20260818-190746,1787080080453,SELL,-0.0
20260818-190746,1787080080408,SELL,-0.0
20260818-190746,1787080080555,SELL,-0.0
20260818-190746,1787080080657,SELL,-0.0
20260818-190746,1787080080527,SELL,-0.0
20260818-190746,1787080080759,SELL,-0.0
20260818-190746,1787080080861,SELL,-0.0
20260818-190746,1787080080963,SELL,-0.0
20260818-190746,1787080081065,SELL,-0.0
20260818-190746,1787080081167,SELL,-0.0
20260818-190746,1787080081269,SELL,-0.0
20260818-190746,1787080081371,SELL,-0.0
20260818-190746,1787080081473,SELL,-0.0
20260818-190746,1787080081575,SELL,-0.0
20260818-190746,1787080081509,SELL,-0.0
20260818-190746,1787080081677,SELL,-0.0
20260818-190746,1787080081779,SELL,-0.0
20260818-190746,1787080081656,SELL,-0.0
20260818-190746,1787080081881,SELL,-0.0
20260818-190746,1787080081792,SELL,-0.0
20260818-190746,1787080081983,SELL,-0.0
20260818-190746,1787080082085,SELL,-0.0
20260818-190746,1787080081996,SELL,-0.0
20260818-190746,1787080082187,SELL,-0.0
20260818-190746,1787080082160,SELL,-0.0
20260818-190746,1787080082289,SELL,-0.0
20260818-190746,1787080082391,SELL,-0.0
20260818-190746,1787080082265,SELL,-0.0
20260818-190746,1787080082493,SELL,-0.0
20260818-190746,1787080082595,SELL,-0.0
20260818-190746,1787080082534,SELL,-0.0
20260818-190746,1787080082697,SELL,-0.0
20260818-190746,1787080082634,SELL,-0.0
20260818-190746,1787080082799,SELL,-0.0
20260818-190746,1787080082734,SELL,-0.0
20260818-190746,1787080082901,SELL,-0.0
20260818-190746,1787080083003,SELL,-0.0
20260818-190746,1787080083105,SELL,-0.0
20260818-190746,1787080083207,SELL,-0.0
20260818-190746,1787080083309,SELL,-0.0
20260818-190746,1787080083411,SELL,-0.0
20260818-190746,1787080083513,SELL,-0.0
20260818-190746,1787080083615,SELL,-0.0
20260818-190746,1787080083717,SELL,-0.0
20260818-190746,1787080083819,SELL,-0.0
20260818-190746,1787080083921,SELL,-0.0
20260818-190746,1787080083869,SELL,-0.0
20260818-190746,1787080084023,SELL,-0.0
20260818-190746,1787080084125,SELL,-0.0
20260818-190746,1787080084017,SELL,-0.0
20260818-190823,1787080115235,SELL,-0.0
20260818-190823,1787080115227,SELL,-0.0
20260818-190823,1787080115337,SELL,-0.0
20260818-190823,1787080115439,SELL,-0.0
20260818-190823,1787080115299,SELL,-0.0
20260818-190823,1787080115541,SELL,-0.0
20260818-190823,1787080115643,SELL,-0.0
20260818-190823,1787080115577,SELL,-0.0
20260818-190823,1787080115745,SELL,-0.0
20260818-190823,1787080115847,SELL,-0.0
20260818-190823,1787080115949,SELL,-0.0
20260818-190823,1787080115816,SELL,-0.0
20260818-190823,1787080116051,SELL,-0.0
20260818-190823,1787080116153,SELL,-0.0
20260818-190823,1787080116060,SELL,-0.0
20260818-190823,1787080116255,SELL,-0.0
20260818-190823,1787080116357,SELL,-0.0
20260818-190823,1787080116404,SELL,-0.0
20260818-190823,1787080116459,SELL,-0.0
20260818-190823,1787080116561,SELL,-0.0
20260818-190823,1787080116426,SELL,-0.0
20260818-190823,1787080116663,SELL,-0.0
20260818-190823,1787080116765,SELL,-0.0
20260818-190823,1787080116867,SELL,-0.0
20260818-190823,1787080116969,SELL,-0.0
20260818-190823,1787080117071,SELL,-0.0
20260818-190823,1787080117013,SELL,-0.0
20260818-190823,1787080117173,SELL,-0.0
20260818-190823,1787080117275,SELL,-0.0
20260818-190823,1787080117377,SELL,-0.0
20260818-190823,1787080117479,SELL,-0.0
20260818-190823,1787080117581,SELL,-0.0
20260818-190823,1787080117683,SELL,-0.0
20260818-190823,1787080117572,SELL,-0.0
20260818-190823,1787080117785,SELL,-0.0
20260818-190823,1787080117887,SELL,-0.0
20260818-190823,1787080117989,SELL,-0.0
20260818-190823,1787080118091,SELL,-0.0
20260818-190823,1787080118193,SELL,-0.0
20260818-190823,1787080118048,SELL,-0.0
20260818-190823,1787080118295,SELL,-0.0
20260818-190823,1787080118227,SELL,-0.0
20260818-190823,1787080118397,SELL,-0.0
20260818-190823,1787080118499,SELL,-0.0
20260818-190823,1787080118601,SELL,-0.0
20260818-190823,1787080118556,SELL,-0.0
20260818-190823,1787080118703,SELL,-0.0
20260818-190823,1787080118805,SELL,-0.0
20260818-190823,1787080118692,SELL,-0.0
20260818-190823,1787080118907,SELL,-0.0
20260818-190823,1787080119009,SELL,-0.0
20260818-190823,1787080119111,SELL,-0.0
20260818-190823,1787080119213,SELL,-0.0
20260818-190823,1787080126557,SELL,-0.0
20260818-190823,1787080126537,SELL,-0.0
20260818-190823,1787080126659,SELL,-0.0
20260818-190823,1787080126761,SELL,-0.0
20260818-190823,1787080126657,SELL,-0.0
20260818-190823,1787080126863,SELL,-0.0
20260818-190823,1787080126965,SELL,-0.0
20260818-190823,1787080127067,SELL,-0.0
20260818-190823,1787080127001,SELL,-0.0
20260818-190823,1787080127169,SELL,-0.0
20260818-190823,1787080127271,SELL,-0.0
20260818-190823,1787080127373,SELL,-0.0
20260818-190823,1787080127266,SELL,-0.0
20260818-190823,1787080127475,SELL,-0.0
20260818-190823,1787080127577,SELL,-0.0
20260818-190823,1787080127520,SELL,-0.0
20260818-190823,1787080127679,SELL,-0.0
20260818-190823,1787080127781,SELL,-0.0
20260818-190823,1787080127883,SELL,-0.0
20260818-190823,1787080127985,SELL,-0.0
20260818-190823,1787080127875,SELL,-0.0
20260818-190823,1787080128087,SELL,-0.0
20260818-190823,1787080128189,SELL,-0.0
20260818-190823,1787080128291,SELL,-0.0
20260818-190823,1787080128393,SELL,-0.0
20260818-190823,1787080128495,SELL,-0.0
20260818-190823,1787080128597,SELL,-0.0
20260818-190823,1787080128501,SELL,-0.0
20260818-190823,1787080128699,SELL,-0.0
20260818-190823,1787080128801,SELL,-0.0
20260818-190823,1787080128903,SELL,-0.0
20260818-190823,1787080129005,SELL,-0.0
20260818-190823,1787080129107,SELL,-0.0
20260818-190823,1787080129209,SELL,-0.0
20260818-190823,1787080129079,SELL,-0.0
20260818-190823,1787080129311,SELL,-0.0
20260818-190823,1787080129413,SELL,-0.0
20260818-190823,1787080129515,SELL,-0.0
20260818-190823,1787080129617,SELL,-0.0
20260818-190823,1787080129719,SELL,-0.0
20260818-190823,1787080129729,SELL,-0.0
20260818-190823,1787080129732,SELL,-0.0
20260818-190823,1787080129821,SELL,-0.0
20260818-190823,1787080129732,SELL,-0.0
20260818-190823,1787080129923,SELL,-0.0
20260818-190823,1787080130025,SELL,-0.0
20260818-190823,1787080130127,SELL,-0.0
20260818-190823,1787080130229,SELL,-0.0
20260818-190823,1787080130331,SELL,-0.0
20260818-190823,1787080130433,SELL,-0.0
20260818-190823,1787080130535,SELL,-0.0
20260818-190823,1787080130426,SELL,-0.0
20260818-190823,1787080130637,SELL,-0.0
20260818-190823,1787080130739,SELL,-0.0
20260818-190823,1787080130841,SELL,-0.0
20260818-190823,1787080130943,SELL,-0.0
20260818-190823,1787080130839,SELL,-0.0
20260818-190823,1787080131045,SELL,-0.0
20260818-190823,1787080131147,SELL,-0.0
20260818-190823,1787080131249,SELL,-0.0
20260818-190823,1787080131351,SELL,-0.0
20260818-190823,1787080131453,SELL,-0.0
20260818-190823,1787080131319,SELL,-0.0
20260818-190823,1787080131555,SELL,-0.0
20260818-190823,1787080131657,SELL,-0.0
20260818-190823,1787080131759,SELL,-0.0
20260818-190823,1787080131861,SELL,-0.0
20260818-190823,1787080131963,SELL,-0.0
20260818-190823,1787080131909,SELL,-0.0
20260818-190823,1787080132065,SELL,-0.0
20260818-190823,1787080132167,SELL,-0.0
20260818-190823,1787080132269,SELL,-0.0
20260818-190823,1787080132371,SELL,-0.0
20260818-190823,1787080132473,SELL,-0.0
20260818-190823,1787080132575,SELL,-0.0
20260818-190823,1787080132496,SELL,-0.0
20260818-190823,1787080132677,SELL,-0.0
20260818-190823,1787080132779,SELL,-0.0
20260818-190823,1787080132881,SELL,-0.0
20260818-190823,1787080132983,SELL,-0.0
20260818-190823,1787080132916,SELL,-0.0
20260818-190823,1787080132982,SELL,-0.0
20260818-190823,1787080133085,SELL,-0.0
20260818-190823,1787080133187,SELL,-0.0
20260818-190823,1787080133055,SELL,-0.0
20260818-190823,1787080133289,SELL,-0.0
20260818-190823,1787080133184,SELL,-0.0
20260818-190823,1787080133391,SELL,-0.0
20260818-190823,1787080133493,SELL,-0.0
20260818-190823,1787080133595,SELL,-0.0
20260818-190823,1787080133697,SELL,-0.0
20260818-190823,1787080133598,SELL,-0.0
20260818-190823,1787080133799,SELL,-0.0
20260818-190823,1787080133901,SELL,-0.0
20260818-190823,1787080134003,SELL,-0.0
20260818-190823,1787080134105,SELL,-0.0
20260818-190823,1787080134207,SELL,-0.0
20260818-190823,1787080134309,SELL,-0.0
20260818-190823,1787080134217,SELL,-0.0
20260818-190823,1787080134411,SELL,-0.0
20260818-190823,1787080134513,SELL,-0.0
20260818-190823,1787080134615,SELL,-0.0
20260818-190823,1787080134717,SELL,-0.0
20260818-190823,1787080134819,SELL,-0.0
20260818-190823,1787080134921,SELL,-0.0
20260818-190823,1787080134828,SELL,-0.0
20260818-190823,1787080135023,SELL,-0.0
20260818-190823,1787080135125,SELL,-0.0
20260818-190823,1787080135004,SELL,-0.0
20260818-190823,1787080135227,SELL,-0.0
20260818-190823,1787080135154,SELL,-0.0
20260818-190823,1787080135329,SELL,-0.0
20260818-190823,1787080135431,SELL,-0.0
20260818-190823,1787080135533,SELL,-0.0
20260818-190823,1787080135635,SELL,-0.0
20260818-190823,1787080135536,SELL,-0.0
20260818-190823,1787080135737,SELL,-0.0
20260818-190823,1787080135839,SELL,-0.0
20260818-190823,1787080135941,SELL,-0.0
20260818-190823,1787080136043,SELL,-0.0
20260818-190823,1787080136145,SELL,-0.0
20260818-190823,1787080136247,SELL,-0.0
20260818-190823,1787080136107,SELL,-0.0
20260818-190823,1787080136349,SELL,-0.0
20260818-190823,1787080136451,SELL,-0.0
20260818-190823,1787080136553,SELL,-0.0
20260818-190823,1787080136655,SELL,-0.0
20260818-190823,1787080136511,SELL,-0.0
20260818-190823,1787080136757,SELL,-0.0
20260818-190823,1787080136859,SELL,-0.0
20260818-190823,1787080136762,SELL,-0.0
20260818-190823,1787080136961,SELL,-0.0
20260818-190823,1787080137063,SELL,-0.0
20260818-190823,1787080137165,SELL,-0.0
20260818-190823,1787080137267,SELL,-0.0
20260818-190823,1787080137369,SELL,-0.0
20260818-190823,1787080137471,SELL,-0.0
20260818-190823,1787080137573,SELL,-0.0
20260818-190823,1787080137422,SELL,-0.0
20260818-190823,1787080137675,SELL,-0.0
20260818-190823,1787080137777,SELL,-0.0
20260818-190823,1787080137879,SELL,-0.0
20260818-190823,1787080137981,SELL,-0.0
20260818-190823,1787080138083,SELL,-0.0
20260818-190823,1787080138185,SELL,-0.0
20260818-190823,1787080138034,SELL,-0.0
20260818-190823,1787080138287,SELL,-0.0
20260818-190823,1787080138389,SELL,-0.0
20260818-190823,1787080138491,SELL,-0.0
20260818-190823,1787080138593,SELL,-0.0
20260818-190823,1787080138695,SELL,-0.0
20260818-190823,1787080138797,SELL,-0.0
20260818-190823,1787080138899,SELL,-0.0
20260818-190823,1787080139001,SELL,-0.0
20260818-190823,1787080139103,SELL,-0.0
20260818-190823,1787080139205,SELL,-0.0
20260818-190823,1787080139120,SELL,-0.0
20260818-190823,1787080139307,SELL,-0.0
20260818-190823,1787080139409,SELL,-0.0
20260818-190823,1787080139511,SELL,-0.0
20260818-190823,1787080139382,SELL,-0.0
20260818-190823,1787080139613,SELL,-0.0
20260818-190823,1787080139715,SELL,-0.0
20260818-190823,1787080139817,SELL,-0.0
20260818-190823,1787080139919,SELL,-0.0
20260818-190823,1787080140021,SELL,-0.0
20260818-190823,1787080140123,SELL,-0.0
20260818-190823,1787080140004,SELL,-0.0
20260818-190823,1787080140225,SELL,-0.0
20260818-190823,1787080140327,SELL,-0.0
20260818-190823,1787080140227,SELL,-0.0
20260818-190823,1787080140429,SELL,-0.0
20260818-190823,1787080140531,SELL,-0.0
20260818-190823,1787080140506,SELL,-0.0
20260818-190823,1787080140837,SELL,-0.0
20260818-190823,1787080140770,SELL,-0.0
20260818-190823,1787080140939,SELL,-0.0
20260818-190823,1787080140878,SELL,-0.0
20260818-190823,1787080141041,SELL,-0.0
20260818-190823,1787080141009,SELL,-0.0
20260818-190823,1787080170621,SELL,0.6026679647198451
20260818-190823,1787080170723,SELL,0.6026679647198451
20260818-190823,1787080170825,SELL,0.6026679647198451
20260818-190823,1787080170927,SELL,0.618120989457174
20260818-190823,1787080171029,SELL,0.618120989457174
20260818-190823,1787080171085,SELL,0.618120989457174
20260818-190823,1787080171131,SELL,0.618120989457174
20260818-190823,1787080171233,SELL,0.618120989457174
20260818-190823,1787080171100,SELL,0.618120989457174
20260818-190823,1787080171335,SELL,0.618120989457174
20260818-190823,1787080171437,SELL,0.618120989457174
20260818-190823,1787080171539,SELL,0.618120989457174
20260818-190823,1787080171641,SELL,0.618120989457174
20260818-190823,1787080171743,SELL,0.618120989457174
20260818-190823,1787080171845,SELL,0.618120989457174
20260818-190823,1787080171947,SELL,0.618120989457174
20260818-190823,1787080171840,SELL,0.618120989457174
20260818-190823,1787080172019,SELL,0.618120989457174
20260818-190823,1787080172019,SELL,0.618120989457174
20260818-190823,1787080172019,SELL,0.618120989457174
20260818-190823,1787080172019,SELL,0.618120989457174
20260818-190823,1787080172019,SELL,0.618120989457174
20260818-190823,1787080172023,SELL,0.618120989457174
