session,ts_ms,gross_bps
20260818-190823,1787080104729,0.0
20260818-190823,1787080104831,0.0
20260818-190823,1787080104933,0.0
20260818-190823,1787080105035,0.0
20260818-190823,1787080104922,0.0
20260818-190823,1787080105137,0.0
20260818-190823,1787080105239,0.0
20260818-190823,1787080105341,0.0
20260818-190823,1787080105443,0.0
20260818-190823,1787080105545,0.0
20260818-190823,1787080105459,0.0
20260818-190823,1787080105647,0.0
20260818-190823,1787080105749,0.0
20260818-190823,1787080105851,0.0
20260818-190823,1787080105953,0.0
20260818-190823,1787080105883,0.0
20260818-190823,1787080106055,0.0
20260818-190823,1787080106003,0.0
20260818-190823,1787080106157,0.0
20260818-190823,1787080106259,0.0
20260818-190823,1787080106118,0.0
20260818-190823,1787080106361,0.0
20260818-190823,1787080106463,0.0
20260818-190823,1787080106372,0.0
20260818-190823,1787080106565,0.0
20260818-190823,1787080106667,0.0
20260818-190823,1787080106523,0.0
20260818-190823,1787080106769,0.0
20260818-190823,1787080106871,0.0
20260818-190823,1787080106973,0.0
20260818-190823,1787080106983,0.0
20260818-190823,1787080107075,0.0
20260818-190823,1787080107064,0.0
20260818-190823,1787080107177,0.0
20260818-190823,1787080107106,0.0
20260818-190823,1787080107279,0.0
20260818-190823,1787080107381,0.0
20260818-190823,1787080107483,0.0
20260818-190823,1787080107487,0.0
20260818-190823,1787080107585,0.0
20260818-190823,1787080107687,0.0
20260818-190823,1787080107789,0.0
20260818-190823,1787080107678,0.0
20260818-190823,1787080107891,0.0
20260818-190823,1787080107993,0.0
20260818-190823,1787080108095,0.0
20260818-190823,1787080108197,0.0
20260818-190823,1787080108105,0.0
20260818-190823,1787080108299,0.0
20260818-190823,1787080108401,0.0
20260818-190823,1787080108503,0.0
20260818-190823,1787080108605,0.0
20260818-190823,1787080108530,0.0
20260818-190823,1787080108707,0.0
20260818-190823,1787080108636,0.0
20260818-190823,1787080108809,0.0
20260818-190823,1787080108911,0.0
20260818-190823,1787080109013,0.0
20260818-190823,1787080109115,0.0
20260818-190823,1787080109217,0.0
20260818-190823,1787080109319,0.0
20260818-190823,1787080109175,0.0
20260818-190823,1787080109421,0.0
20260818-190823,1787080109523,0.0
20260818-190823,1787080109625,0.0
20260818-190823,1787080109515,0.0
20260818-190823,1787080109727,0.0
20260818-190823,1787080109829,0.0
20260818-190823,1787080109931,0.0
20260818-190823,1787080110033,0.0
20260818-190823,1787080109908,0.0
20260818-190823,1787080110135,0.0
20260818-190823,1787080110237,0.0
20260818-190823,1787080110115,0.0
20260818-190823,1787080110339,0.0
20260818-190823,1787080110441,0.0
20260818-190823,1787080110543,0.0
20260818-190823,1787080110396,0.0
20260818-190823,1787080110645,0.0
20260818-190823,1787080110747,0.0
20260818-190823,1787080110849,0.0
20260818-190823,1787080110729,0.0
20260818-190823,1787080110951,0.0
20260818-190823,1787080110885,0.0
20260818-190823,1787080111053,0.0
20260818-190823,1787080111155,0.0
20260818-190823,1787080111257,0.0
20260818-190823,1787080111359,0.0
20260818-190823,1787080111461,0.0
20260818-190823,1787080111563,0.0
20260818-190823,1787080111665,0.0
20260818-190823,1787080111767,0.0
20260818-190823,1787080111653,0.0
20260818-190823,1787080111869,0.0
20260818-190823,1787080111971,0.0
20260818-190823,1787080112073,-0.6026679647198451
20260818-190823,1787080112175,-0.6026679647198451
20260818-190823,1787080112117,-0.6026679647198451
20260818-190823,1787080112277,-0.6026679647198451
20260818-190823,1787080112379,-0.6026679647198451
20260818-190823,1787080112481,-0.6026679647198451
20260818-190823,1787080112583,-0.6026679647198451
20260818-190823,1787080112685,-0.6026679647198451
20260818-190823,1787080112539,-0.6026679647198451
20260818-190823,1787080112787,-0.6026679647198451
20260818-190823,1787080112711,-0.6026679647198451
20260818-190823,1787080112889,-0.618120989457174
20260818-190823,1787080112991,-0.618120989457174
20260818-190823,1787080112900,-0.618120989457174
20260818-190823,1787080113093,-0.618120989457174
20260818-190823,1787080113195,-0.618120989457174
20260818-190823,1787080113297,-0.618120989457174
20260818-190823,1787080113399,-0.618120989457174
20260818-190823,1787080113375,-0.618120989457174
20260818-190823,1787080113501,-0.618120989457174
20260818-190823,1787080113603,-0.618120989457174
20260818-190823,1787080113491,-0.618120989457174
20260818-190823,1787080113705,-0.618120989457174
20260818-190823,1787080113807,-0.618120989457174
20260818-190823,1787080113909,-0.618120989457174
20260818-190823,1787080114011,-0.618120989457174
20260818-190823,1787080114113,-0.618120989457174
20260818-190823,1787080114003,-0.618120989457174
20260818-190823,1787080114215,-0.618120989457174
20260818-190823,1787080114119,-0.618120989457174
20260818-190823,1787080114317,-0.618120989457174
20260818-190823,1787080114242,-0.618120989457174
20260818-190823,1787080114419,-0.618120989457174
20260818-190823,1787080114521,-0.618120989457174
20260818-190823,1787080114623,-0.618120989457174
20260818-190823,1787080114558,-0.618120989457174
20260818-190823,1787080114725,-0.618120989457174
20260818-190823,1787080114735,-0.618120989457174
20260818-190823,1787080114827,-0.618120989457174
20260818-190823,1787080114742,-0.618120989457174
20260818-190823,1787080114929,-0.618120989457174
20260818-190823,1787080115031,-0.618120989457174
20260818-190823,1787080115133,-0.618120989457174
20260818-190823,1787080115182,-0.618120989457174
20260818-190823,1787080115235,-0.618120989457174
20260818-190823,1787080115227,-0.618120989457174
20260818-190823,1787080115337,-0.618120989457174
20260818-190823,1787080115439,-0.618120989457174
20260818-190823,1787080115299,-0.618120989457174
20260818-190823,1787080115541,-0.618120989457174
20260818-190823,1787080115643,-0.618120989457174
20260818-190823,1787080115577,-0.618120989457174
20260818-190823,1787080115745,-0.618120989457174
20260818-190823,1787080115847,-0.618120989457174
20260818-190823,1787080115949,-0.618120989457174
20260818-190823,1787080115816,-0.618120989457174
20260818-190823,1787080116051,-0.618120989457174
20260818-190823,1787080116153,-0.618120989457174
20260818-190823,1787080116060,-0.618120989457174
20260818-190823,1787080116255,-0.618120989457174
20260818-190823,1787080116357,-0.618120989457174
20260818-190823,1787080116404,-0.618120989457174
20260818-190823,1787080116459,-0.618120989457174
20260818-190823,1787080116561,-0.618120989457174
20260818-190823,1787080116426,-0.618120989457174
20260818-190823,1787080116663,-0.618120989457174
20260818-190823,1787080116765,-0.618120989457174
20260818-190823,1787080116867,-0.618120989457174
20260818-190823,1787080116969,-0.618120989457174
20260818-190823,1787080117071,-0.618120989457174
20260818-190823,1787080117013,-0.618120989457174
20260818-190823,1787080117173,-0.618120989457174
20260818-190823,1787080117275,-0.618120989457174
20260818-190823,1787080117377,-0.618120989457174
20260818-190823,1787080117479,-0.618120989457174
20260818-190823,1787080117581,-0.618120989457174
20260818-190823,1787080117683,-0.618120989457174
20260818-190823,1787080117572,-0.618120989457174
20260818-190823,1787080117785,-0.618120989457174
20260818-190823,1787080117887,-0.618120989457174
20260818-190823,1787080117989,-0.618120989457174
20260818-190823,1787080118091,-0.618120989457174
20260818-190823,1787080118193,-0.618120989457174
20260818-190823,1787080118048,-0.618120989457174
20260818-190823,1787080118295,-0.618120989457174
20260818-190823,1787080118227,-0.618120989457174
20260818-190823,1787080118397,-0.618120989457174
20260818-190823,1787080118499,-0.618120989457174
20260818-190823,1787080118601,-0.618120989457174
20260818-190823,1787080118556,-0.618120989457174
20260818-190823,1787080118703,-0.618120989457174
20260818-190823,1787080118805,-0.618120989457174
20260818-190823,1787080118692,-0.618120989457174
20260818-190823,1787080118907,-0.618120989457174
20260818-190823,1787080119009,-0.618120989457174
20260818-190823,1787080119111,-0.618120989457174
20260818-190823,1787080119213,-0.618120989457174
20260818-190823,1787080119315,-0.618120989457174
20260818-190823,1787080119417,-0.618120989457174
20260818-190823,1787080119519,-0.618120989457174
20260818-190823,1787080119621,-0.618120989457174
20260818-190823,1787080119723,-0.618120989457174
20260818-190823,1787080119825,-0.618120989457174
20260818-190823,1787080119927,-0.618120989457174
20260818-190823,1787080120029,-0.618120989457174
20260818-190823,1787080120131,-0.618120989457174
20260818-190823,1787080120233,-0.618120989457174
20260818-190823,1787080120335,-0.618120989457174
20260818-190823,1787080120437,-0.618120989457174
20260818-190823,1787080120539,-0.618120989457174
20260818-190823,1787080120641,-0.618120989457174
20260818-190823,1787080120494,-0.618120989457174
20260818-190823,1787080120743,-0.618120989457174
20260818-190823,1787080120845,-0.618120989457174
20260818-190823,1787080120947,-0.618120989457174
20260818-190823,1787080121049,-0.618120989457174
20260818-190823,1787080121151,-0.618120989457174
20260818-190823,1787080121253,-0.618120989457174
