session,ts_ms,action,gross_bps,net_bps,mid,spread_bps,pred_raw,calibrated,exec_ready
20260818-190746,1787080068417,BUY,0.0,-4.6658,64715.350000000006,0.015452,-0.03109946112416323,0.06913311378290628,False
20260818-190746,1787080068519,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.05786453806247677,-0.030626521207023683,False
20260818-190746,1787080068578,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2561905352533301,-0.030626521207023683,False
20260818-190746,1787080068621,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2505506428165905,-0.030626521207023683,False
20260818-190746,1787080068723,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2557058297114209,-0.030626521207023683,False
20260818-190746,1787080068594,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.1455352987075434,-0.030626521207023683,False
20260818-190746,1787080068825,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.14253887885346467,-0.030626521207023683,False
20260818-190746,1787080068790,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.31190550500265096,-0.030626521207023683,False
20260818-190746,1787080068927,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.31272878635775353,-0.030626521207023683,False
20260818-190746,1787080069029,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3111831417763164,-0.030626521207023683,False
20260818-190746,1787080068913,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.36752010839307664,-0.030626521207023683,False
20260818-190746,1787080069131,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3711853236880111,-0.5717989357779674,False
20260818-190746,1787080069233,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3677882920014926,-0.030626521207023683,False
20260818-190746,1787080069335,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3671100723765561,-0.030626521207023683,False
20260818-190746,1787080069437,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.36539144591848965,-0.030626521207023683,False
20260818-190746,1787080069346,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.39133010697512266,-0.5717989357779674,False
20260818-190746,1787080069539,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3846340880776132,-0.5717989357779674,False
20260818-190746,1787080069641,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3911200454260299,-0.5717989357779674,False
20260818-190746,1787080069743,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3941648484712524,-0.5717989357779674,False
20260818-190746,1787080069845,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.39212410161457073,-0.5717989357779674,False
20260818-190746,1787080069947,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.3920416316926492,-0.5717989357779674,False
20260818-190746,1787080069797,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4136924251263046,-0.5717989357779674,False
20260818-190746,1787080070049,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4176344662917156,-0.5717989357779674,False
20260818-190746,1787080070151,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.41797891676127047,-0.5717989357779674,False
20260818-190746,1787080070043,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.45066337074434554,-0.5717989357779674,False
20260818-190746,1787080070253,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4535510701569106,-0.5717989357779674,False
20260818-190746,1787080070355,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.45236059509270793,-0.5717989357779674,False
20260818-190746,1787080070457,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.45456248317490006,-0.5717989357779674,False
20260818-190746,1787080070370,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47612660744943486,-0.5717989357779674,False
20260818-190746,1787080070559,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47784288051363283,-0.5717989357779674,False
20260818-190746,1787080070661,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4755574438639985,-0.5717989357779674,False
20260818-190746,1787080070763,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47421472499535394,-0.5717989357779674,False
20260818-190746,1787080070865,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4765009000500687,-0.5717989357779674,False
20260818-190746,1787080070967,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.476618376799721,-0.5717989357779674,False
20260818-190746,1787080071069,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4719221426143972,-0.5717989357779674,False
20260818-190746,1787080071171,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4763993653356909,-0.5717989357779674,False
20260818-190746,1787080071273,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47975809747097414,-0.5717989357779674,False
20260818-190746,1787080071375,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47358890650113167,-0.5717989357779674,False
20260818-190746,1787080071477,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4728400672192284,-0.5717989357779674,False
20260818-190746,1787080071579,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4770978436105962,-0.5717989357779674,False
20260818-190746,1787080071681,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4718603465333771,-0.5717989357779674,False
20260818-190746,1787080071783,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4725787729559788,-0.5717989357779674,False
20260818-190746,1787080071885,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4743040506151886,-0.5717989357779674,False
20260818-190746,1787080071987,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47241463569306036,-0.5717989357779674,False
20260818-190746,1787080072089,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4750899261605435,-0.5717989357779674,False
20260818-190746,1787080072191,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47430488434251533,-0.5717989357779674,False
20260818-190746,1787080072293,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.475025621302454,-0.5717989357779674,False
20260818-190746,1787080072174,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4900649481960622,-0.5717989357779674,False
20260818-190746,1787080072395,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4926168321206151,-0.5717989357779674,False
20260818-190746,1787080072497,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4933530322280311,-0.5717989357779674,False
20260818-190746,1787080072599,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4899663262129557,-0.5717989357779674,False
20260818-190746,1787080072701,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4804373131958833,-0.5717989357779674,False
20260818-190746,1787080072803,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4927764381484033,-0.5717989357779674,False
20260818-190746,1787080072905,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4888276844334985,-0.5717989357779674,False
20260818-190746,1787080073007,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4924580103599468,-0.5717989357779674,False
20260818-190746,1787080073109,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49040946742820074,-0.5717989357779674,False
20260818-190746,1787080073211,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4867086755594637,-0.5717989357779674,False
20260818-190746,1787080073313,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4856432856684703,-0.5717989357779674,False
20260818-190746,1787080073415,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4905503173861346,-0.5717989357779674,False
20260818-190746,1787080073517,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4904992455738613,-0.5717989357779674,False
20260818-190746,1787080073619,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49996436651102233,-0.5717989357779674,False
20260818-190746,1787080073721,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4893392425237109,-0.5717989357779674,False
20260818-190746,1787080073823,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49121439815565077,-0.5717989357779674,False
20260818-190746,1787080073925,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49271172346012776,-0.5717989357779674,False
20260818-190746,1787080074027,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4891163478099512,-0.5717989357779674,False
20260818-190746,1787080074129,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4849719278896037,-0.5717989357779674,False
20260818-190746,1787080074231,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.48021645521180006,-0.5717989357779674,False
20260818-190746,1787080074141,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5013045126547502,-0.5717989357779674,False
